Country,State / Province
United Kingdom,Suffolk
United Kingdom,Slough
United Kingdom,Leicester
United Kingdom,Kingston upon Thames
United Kingdom,Derby
United Kingdom,North Yorkshire
United Kingdom,Sutton
United Kingdom,Salford
United Kingdom,Cornwall and Isles of Scilly
United Kingdom,Portsmouth
United Kingdom,Dudley
United Kingdom,Tameside
United Kingdom,Oldham
United Kingdom,Wiltshire
United Kingdom,West Sussex
United Kingdom,Trafford
United Kingdom,"Bristol, City of"
United Kingdom,Worcestershire
United Kingdom,Northamptonshire
United Kingdom,Cambridgeshire
United Kingdom,Richmond upon Thames
United Kingdom,Sandwell
United Kingdom,Gloucestershire
United Kingdom,Leeds
United Kingdom,Warwickshire
United Kingdom,Norfolk
United Kingdom,Liverpool
United Kingdom,Stockport
United Kingdom,Walsall
United Kingdom,Manchester
United Kingdom,Havering
United Kingdom,Nottingham
United Kingdom,Barking and Dagenham
United Kingdom,Newcastle upon Tyne
United Kingdom,Bexley
United Kingdom,Buckinghamshire
United Kingdom,Devon
United Kingdom,Redbridge
United Kingdom,Leicestershire
United Kingdom,Staffordshire
United Kingdom,Waltham Forest
United Kingdom,Merton
United Kingdom,Hammersmith and Fulham
United Kingdom,Lancashire
United Kingdom,Islington
United Kingdom,Camden
United Kingdom,Oxfordshire
United Kingdom,Haringey
United Kingdom,Kent
United Kingdom,Greenwich
United Kingdom,Essex
United Kingdom,Tower Hamlets
United Kingdom,Wolverhampton
United Kingdom,Surrey
United Kingdom,Newham
United Kingdom,Nottinghamshire
United Kingdom,Hackney and City of London
United Kingdom,Hounslow
United Kingdom,Bromley
United Kingdom,Enfield
United Kingdom,Hillingdon
United Kingdom,Derbyshire
United Kingdom,Croydon
United Kingdom,Kensington and Chelsea
United Kingdom,Lewisham
United Kingdom,Barnet
United Kingdom,Ealing
United Kingdom,Sheffield
United Kingdom,Cumbria
United Kingdom,Wandsworth
United Kingdom,Harrow
United Kingdom,Hertfordshire
United Kingdom,Westminster
United Kingdom,Lambeth
United Kingdom,Birmingham
United Kingdom,Brent
United Kingdom,Southwark
United Kingdom,Hampshire
United Kingdom,Borders
United Kingdom,Highland
United Kingdom,Grampian
United Kingdom,Shetland
United Kingdom,Fife
United Kingdom,Dumfries and Galloway
United Kingdom,Ayrshire and Arran
United Kingdom,Forth Valley
United Kingdom,Tayside
United Kingdom,Lothian
United Kingdom,Lanarkshire
United Kingdom,Greater Glasgow and Clyde
United Kingdom,Denbighshire County Council
United Kingdom,Gwynedd Council
United Kingdom,Merthyr Tydfil County Borough Council
United Kingdom,Vale of Glamorgan Council
United Kingdom,Ceredigion County Council
United Kingdom,Conwy County Borough Council
United Kingdom,Flintshire County Council
United Kingdom,Neath Port Talbot Council
United Kingdom,Total:
United Kingdom,City of Cardiff Council
United Kingdom,Caerphilly County Borough Council
United Kingdom,Wrexham County Borough Council
United Kingdom,Rhondda Cynon Taf County Borough Council
United Kingdom,Pembrokeshire County Council
United Kingdom,Isle of Anglesey County Council
United Kingdom,Resident outside Wales
United Kingdom,City and County of Swansea
United Kingdom,Newport City Council
United Kingdom,Torfaen County Borough Council
United Kingdom,Bridgend County Borough Council
United Kingdom,Powys County Council
United Kingdom,Carmarthenshire County Council
United Kingdom,Monmouthshire County Council
United Kingdom,Blaenau Gwent County Borough Council
United Kingdom,To be confirmed
United Kingdom,Hywel Dda
United Kingdom,Aneurin Bevan
United Kingdom,Swansea Bay
United Kingdom,Cardiff and Vale
United Kingdom,Betsi Cadwaladr
United Kingdom,Cwm Taf
United Kingdom,Powys
United Kingdom,Residential area to be confirmed
United Kingdom,Wales
United States of America,all
United States of America,California
United States of America,New York
United States of America,Washington
