"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City
65.31,32.0,10.0,36.0,"1,368","55,123",Givatayim
64.34,2.0,3.0,5.0,149,"7,771",Alfei Menashe
63.65,10.0,3.0,5.0,272,"7,856",Tzur Hadassah
63.52,19.0,3.0,17.0,342,"26,763",Arad
62.94,11.0,2.0,14.0,376,"22,243",Tirat Carmel
61.64,13.0,5.0,14.0,350,"22,711",Yokneam
61.23,8.0,0.0,4.0,129,"6,533",Beit Dagan
60.84,43.0,11.0,36.0,"1,203","59,171",Hod HaSharon
58.69,20.0,3.0,13.0,425,"22,152",Kiryat Shmona
57.23,10.0,1.0,5.0,236,"8,737",Harish
56.29,25.0,4.0,13.0,642,"23,093",Mevaseret Zion
55.29,14.0,0.0,5.0,357,"9,043",Meiter
53.83,9.0,0.0,8.0,179,"14,861",Ma'ale Iron
53.09,20.0,6.0,21.0,678,"39,556",Kiryat Yam
51.06,40.0,12.0,30.0,"1,094","58,750",Nahariya
50.99,145.0,26.0,139.0,"4,274","272,584",Haifa
50.68,7.0,0.0,5.0,73,"9,866",Bir al-Maksur
49.41,7.0,4.0,11.0,245,"22,261",Ma'alot-Tarshiha
49.38,24.0,0.0,5.0,170,"10,126",Yeruham
49.31,130.0,1.0,9.0,446,"18,251",Ariel
47.35,13.0,7.0,16.0,573,"33,792",Tamra
46.77,47,1,11,622,"23,517",Kafr Qasim
43.32,7.0,0.0,3.0,168,"6,926",Zemer
41.56,27.0,4.0,19.0,"1,042","45,714",Ness Ziona
41.28,7.0,1.0,7.0,187,"16,957",Kuseife
41.14,5.0,0.0,4.0,157,"9,722",Hatzor HaGlilit
40.94,7.0,0.0,6.0,209,"14,655",Iksal
38.26,50.0,13.0,36.0,"1,354","94,104",Hadera
37.94,11.0,0.0,2.0,118,"5,272",Caesarea Maritima
36.77,20.0,6.0,21.0,851,"57,108",Kiryat Ata
35.82,7.0,0.0,2.0,98,"5,584",Sha'arei Tikva
35.77,11.0,2.0,8.0,280,"22,364",Maghar
35.38,12.0,4.0,18.0,639,"50,872",Acre
35.36,42.0,4.0,20.0,955,"56,568",Eilat
34.01,10.0,1.0,3.0,209,"8,822",Oranit
33.18,0.0,1.0,2.0,136,"6,027",Pardesiya
33.11,21.0,2.0,13.0,764,"39,262",Bialik
32.95,12.0,0.0,4.0,293,"12,141",Isfiya
32.54,3.0,0.0,2.0,69,"6,147",Jules
31.88,23.0,0.0,6.0,393,"18,820",Kafr Qara
31.81,19.0,0.0,2.0,107,"6,288",Hurfeish
31.76,9.0,0.0,6.0,224,"18,893",Or Akiva
30.94,41.0,3.0,20.0,"1,126","64,649",Rahat
30.38,9.0,1.0,4.0,163,"13,167",Nahaf
30.37,5.0,2.0,2.0,59,"6,586",Buq'ata
29.88,15.0,0.0,4.0,115,"13,388",Ein Mahil
28.48,2.0,0.0,3.0,221,"10,532",Basmaa
28.36,6.0,1.0,3.0,126,"10,577",Kafr Yasif
27.64,5.0,1.0,2.0,172,"7,236",Ramat Yishai
26.87,5.0,1.0,2.0,151,"7,442",Atlit
25.53,3.0,1.0,2.0,68,"7,833",Basmat Tab'un
25.5,18.0,1.0,11.0,679,"43,144",Tayibe
24.62,11.0,3.0,10.0,615,"40,622",Pardes Hanna-Karkur
23.33,23.0,4.0,10.0,722,"42,870",Kiryat Motzkin
22.69,7.0,2.0,5.0,322,"22,032",Nesher
21.81,38.0,3.0,7.0,491,"32,089",Sakhnin
20.86,9.0,0.0,3.0,206,"14,383",Binyamina - Givat Ada
20.05,21.0,0.0,2.0,126,"9,974",Buayne-Nujidat
19.52,35.0,1.0,1.0,157,"5,124",Bat Hefer
19.10,27,0,5,570,"26,184",Tiraa
18.95,11.0,1.0,3.0,289.0,"15,831",Kiryat Tiv'on
17.21,38.0,1.0,7.0,449.0,"40,666",Shefa-'Amr
16.53,2.0,0.0,2.0,103.0,"12,102","Kabul, Israel"
15.74,2.0,2.0,3.0,137.0,"19,056",Yafa an-Naseriyye
15.34,34.0,1.0,12.0,790.0,"78,252",Nazareth
15.23,13.0,0.0,2.0,346.0,"13,133",Fureidis
15.04,1.0,0.0,1.0,24.0,"6,648",Tuba-Zangria
12.83,0.0,1.0,1.0,67.0,"7,792",Abu Ghosh
11.97,12.0,1.0,1.0,160.0,"8,355",Bi'ina
11.84,0.0,0.0,1.0,28.0,"8,446",Abu Rubeya (tribe)
11.7,2.0,0.0,1.0,55.0,"8,550",Kisra-Sumei
10.17,37.0,0.0,2.0,461.0,"19,667",Ar'ara
9.74,6.0,0.0,2.0,201.0,"20,524",Jadeida-acquaintance
9.02,6.0,1.0,1.0,63.0,"11,089",Majdal Shams
8.91,11.0,0.0,2.0,276.0,"22,449",Kafr Kanna
7.6,7.0,0.0,1.0,96.0,"13,164",Abu Snan
6.01,0.0,0.0,1.0,26.0,"16,644",Masudin al-Azazma
5.73,4.0,0.0,1.0,78.0,"17,465",Ar'arat an-Naqab
5.04,3.0,0.0,1.0,50.0,"19,850",Tel as-Sabi
4.4,21.0,1.0,1.0,247.0,"22,740",Clanswa
3.86,20.0,0.0,1.0,359.0,"25,876",Arraba
0.0,6.0,0.0,0.0,92.0,"20,003",Kafr Manda
0.0,2.0,0.0,0.0,199.0,"19,058",Beit She'an
0.0,8.0,0.0,0.0,175.0,"16,993",Daliyat al-Karmel
0.0,6.0,0.0,0.0,57.0,"16,983",Hura
0.0,3.0,0.0,0.0,125.0,"16,614",Reina
0.0,3.0,0.0,0.0,102.0,"15,418",Yarka
0.0,6.0,0.0,0.0,224.0,"15,275",Majd al-Krum
0.0,11.0,0.0,0.0,77.0,"14,695",Lakiya
0.0,3.0,0.0,0.0,90.0,"14,398",Tur'an
0.0,8.0,0.0,0.0,98.0,"13,062",I'billin
0.0,7.0,0.0,0.0,86.0,"11,757",Beit Jan
0.0,3.0,0.0,0.0,26.0,"10,310",Shaqib al-Salam
0.0,0.0,0.0,0.0,17.0,"10,149",Self (tribe)
0.0,1.0,0.0,0.0,22.0,"9,696",Abu Rukake (tribe)
0.0,4.0,0.0,0.0,59.0,"8,649",Mashhad
0.00,5,0,0.1,52,"8,385",Zarzir
0.0,3.0,0.0,0.0,77.0,"8,243",Rama
0.0,0.0,0.0,0.0,31.0,"8,241",Ilut
0.0,0.0,0.0,0.0,46.0,"7,191","Sha'ab, Israel"
0.0,2.0,0.0,0.0,48.0,"6,514",Jan-Jat
0.0,0.0,0.0,0.0,7.0,"6,235",Abu Qurinath (tribe)
0.0,2.0,0.0,0.0,29.0,"5,780",Kavaya-Tabash-Hajjara
