"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City
74.64,16.0,14.0,34.0,"1,109","45,555",Menashe will build
73.91,63.0,29.0,72.0,"2,069","97,412",Kfar Saba
73.13,8.0,3.0,5.0,159,"6,837",Bnei Aish
73.04,38.0,4.0,32.0,"1,122","43,811",Nof Ha'Galil
72.33,35.0,1.0,21.0,848,"29,035",Baka al-
71.81,15.0,1.0,6.0,315,"8,355",Her socks are in her arms
71.44,5.0,1.0,4.0,106,"5,599",Kfar Vradim
69.92,8.0,0.0,7.0,244,"10,011",Jaljulia
68.59,37.0,13.0,38.0,"1,093","55,400",Kiryat Gat
67.26,18.0,4.0,18.0,364,"26,763",Arad
67.21,8.0,3.0,14.0,455,"20,831",Kadima
67.18,3.0,0.0,4.0,131,"5,954",Zoran Tzur Yitzhak
66.89,8.0,5.0,10.0,423,"14,949",Souvenir
66.71,95.0,5.0,36.0,"1,420","53,965",Rosh Haayin
65.72,6.0,4.0,14.0,478,"21,301",Kfar Yona
65.31,27.0,14.0,36.0,"1,417","55,123",Givatayim
63.65,9.0,4.0,5.0,282,"7,856",Tzur Hadassah
62.94,8.0,5.0,14.0,385,"22,243",Tirat Carmel
61.64,11.0,8.0,14.0,363,"22,711",Yokne'am
61.23,6.0,2.0,4.0,138,"6,533",Elite Beit Dagan
60.84,27.0,13.0,36.0,"1,249","59,171",Hod HaSharon
60.62,19.0,5.0,14.0,689,"23,093",Heralds
60.56,10.0,0.0,9.0,194,"14,861",Score up
60.27 58.69,129.0 18.0,1.0 4.0,11.0 13.0,475 447,"18,251 22,152",Iron Ariel
58.15,20.0,7.0,23.0,717,"39,556",Eight Kiryat Yam
57.23,10.0,1.0,5.0,243,"8,737",Harish
53.91,5.0,5.0,12.0,319,"22,261",Maalot
53.72,8.0,0.0,3.0,103,"5,584",Chart my hair
52.59,37.0,3.0,34.0,"1,308","64,649",Rahat hope
52.09,131.0,32.0,142.0,"4,542","272,584",Haifa
51.06,26.0,12.0,30.0,"1,127","58,750",Nahariya
51.03,50.0,1.0,12.0,733,"23,517",Kafr Qasim
50.68,3.0,0.0,5.0,77,"9,866",Beer al-
49.38,23.0,0.0,5.0,184,"10,126",The shortage of their spirit
47.77,7.0,1.0,7.0,239,"14,655",Iksal
47.35,15.0,7.0,16.0,602,"33,792",Tamra
43.75,23.0,4.0,20.0,"1,090","45,714",Ness Ziona
43.32,8.0,1.0,3.0,184,"6,926",Zemer
41.28,7.0,1.0,7.0,193,"16,957",Kuseife
41.14,0.0,1.0,4.0,168,"9,722",Hazor
40.38,54.0,14.0,38.0,"1,434","94,104",The Galilean penetrated
38.89,36.0,5.0,22.0,"1,014","56,568",Eilat
38.2,16.0,5.0,15.0,871,"39,262",Kiryat Kiryat
37.94,10.0,0.0,2.0,123,"5,272",Caesarea Bialik
37.35,13.0,0.0,5.0,143,"13,388",Ein Mahil
36.77,24.0,8.0,21.0,889,"57,108",Kiryat Ata
35.77,11.0,2.0,8.0,325,"22,364",Maghar
35.38,14.0,4.0,18.0,679,"50,872",Acre
34.01,5.0,1.0,3.0,215,"8,822",Oranit
33.18,0.0,1.0,2.0,140,"6,027",Pardesiya
32.95,24.0,1.0,4.0,339,"12,141",Isfiya
32.54,3,1,2,72,"6,147",Jules
31.88,22.0,1.0,6.0,430.0,"18,820",Kafr Qara
31.81,20.0,0.0,2.0,170.0,"6,288",Hurfeish
31.76,6.0,0.0,6.0,242.0,"18,893",Or Akiva
30.38,10.0,1.0,4.0,206.0,"13,167",Nahaf
30.37,5.0,2.0,2.0,68.0,"6,586",Buq'ata
30.08,13.0,1.0,3.0,150.0,"9,974",Buena
28.48,2.0,0.0,3.0,236.0,"10,532",Nujidat in the Sama
28.36,7.0,2.0,3.0,148.0,"10,577",Kafr Yasif
27.64,3.0,1.0,2.0,178.0,"7,236",Ramat Yishai
27.08,13.0,4.0,11.0,657.0,"40,622",Orchard
26.87 25.66,4.0 14.0,1.0 4.0,2.0 11.0,155.0 753.0,"7,442 42,870",Hana-Karkur Atlit
25.53,3.0,1.0,2.0,69.0,"7,833",Motzkin Bashtem
25.5,19.0,1.0,11.0,747.0,"43,144",Tayibe
22.69,8.0,2.0,5.0,331.0,"22,032",Nesher
21.81,36.0,3.0,7.0,566.0,"32,089",Sakhnin
20.86,8.0,0.0,3.0,212.0,"14,383",Binyamina
19.52,39.0,1.0,1.0,167.0,"5,124",Givat Ada Bat Hefer
19.1,21.0,0.0,5.0,602.0,"26,184",Tiraa
18.95,8.0,1.0,3.0,298.0,"15,831",Kiryat Kiryat
17.89,31.0,3.0,14.0,869.0,"78,252",Tivon Tivon Nazareth
17.21,51.0,2.0,7.0,484.0,"40,666",Shefa-'Amr
16.53,4.0,0.0,2.0,132.0,"12,102","Kabul, Israel"
15.74,5.0,2.0,3.0,166.0,"19,056",Yafa an-Naseriyye
15.23,25.0,0.0,2.0,360.0,"13,133",Fureidis
15.04,1.0,0.0,1.0,26.0,"6,648",Good
13.09,13.0,0.0,2.0,376.0,"15,275",Zangaria Majed Al-
12.83,0.0,1.0,1.0,81.0,"7,792",Chrome Abu Ghosh
12.13,4.0,0.0,1.0,200.0,"8,243",Rama
11.84,0.0,0.0,1.0,28.0,"8,446",Abu Rubiya
11.7,0.0,0.0,1.0,112.0,"8,550",(Tribe) Kesra-smiye
11.59,21,0,3,422,"25,876",Arraba
10.49,2.0,0.0,2.0,212.0,"19,058",Beit She'an
10.17,36.0,0.0,2.0,497.0,"19,667",Ar'ara
9.74,5.0,0.0,2.0,220.0,"20,524",Jadeida-
9.02,5.0,1.0,1.0,112.0,"11,089",Sold Majdal Shams
8.91,12.0,0.0,2.0,296.0,"22,449",Kafr Kanna
7.6,9.0,0.0,1.0,114.0,"13,164",Abu Snan
6.01,0.0,0.0,1.0,27.0,"16,644",From Saudi Arabia to
5.73,4.0,0.0,1.0,92.0,"17,465",Azazma appealed-
5.04,3.0,0.0,1.0,60.0,"19,850",In the Negev Tel Sheva
4.4,20.0,1.0,1.0,293.0,"22,740",Clanswa
0.0,6.0,0.0,0.0,157.0,"20,003",Kafr Manda
0.0,6.0,0.0,0.0,180.0,"16,993",Daliyat al-Karmel
0.0,5.0,0.0,0.0,60.0,"16,983",Carmel Hora
0.0,3.0,0.0,0.0,140.0,"16,614",Reina
0.0,3.0,0.0,0.0,116.0,"15,418",Yarka
0.0,10.0,0.0,0.0,85.0,"14,695",Lakiya
0.0,3.0,0.0,0.0,111.0,"14,398",Tur'an
0.0,8.0,0.0,0.0,111.0,"13,062",I'billin
0.0,6.0,0.0,0.0,97.0,"11,757",Beit Jan
0.0,3.0,0.0,0.0,30.0,"10,310",Shaqib al-Salam
0.0,0.0,0.0,0.0,17.0,"10,149",Negev Bedouin
0.0,1.0,0.0,0.0,25.0,"9,696",Negev Bedouin
0.0,3.0,0.0,0.0,65.0,"8,649",Mashhad
0.0,3.0,0.0,0.0,55.0,"8,385",Zarzir
0.0,1.0,0.0,0.0,48.0,"8,241",Ilut
0.0,0.0,0.0,0.0,90.0,"7,191","Sha'ab, Israel"
0.0,2.0,0.0,0.0,54.0,"6,514",Jan-Jat
0.0,0.0,0.0,0.0,11.0,"6,235",Abu Qrenat
0.0,2.0,0.0,0.0,30.0,"5,780",(Tribe) (tribe) (tribe) as Abaya-Tabash-Hajjara
