"Rate per 100,000",Number of actual insulation,A number of recoverers,Number 1. Verified patients,A number of subjects,Population as of 2018,City
86.62,80.0,16.0,65.0,"1,301","75,038",Lod coal
85.25,20.0,9.0,21.0,529,"24,633",Gedera
84.91,17.0,3.0,9.0,202,"10,600",Kiryat Ekron
83.81,334.0,44.0,202.0,"5,869","241,010",First
81.83,184.0,20.0,152.0,"3,886","185,741",To mark Holon
79.53,222.0,35.0,179.0,"4,273","225,073",Ashdod
79.41,44.0,7.0,37.0,640,"46,596",Carmiel
77.08,72.0,9.0,58.0,"1,392","75,246",Ramla
76.32,33.0,12.0,27.0,744,"35,377",Dimona
75.24,190.0,29.0,161.0,"3,394","213,971",Netanya
74.33,32.0,3.0,18.0,581,"24,216",Be'er Ya'akov
73.19,231.0,23.0,144.0,"4,455","196,755",Be'er Sheva
73.13,10.0,2.0,5.0,136,"6,837",Bnei Aish
70.83,95.0,17.0,69.0,"1,765","97,412",Kfar Saba
70.71,195.0,32.0,97.0,"2,777","137,178",Rehovot
70.24,43.0,12.0,32.0,"1,032","45,555",Yavne
67.21,22.0,3.0,14.0,437,"20,831",Kadima
67.18,7.0,0.0,4.0,128,"5,954",Zoran Tzur Yitzhak
66.89,15.0,2.0,10.0,396,"14,949",Souvenir
65.72,7.0,4.0,14.0,452,"21,301",Batya Kfar Yona
64.34,5.0,2.0,5.0,146,"7,771",Alfie
64.33,63.0,1.0,8.0,270,"12,435",Menashe Dyer Al-
63.65,15.0,3.0,5.0,251,"7,856",Assad Tzur Hadassah
63.49,51.0,10.0,35.0,"1,262","55,123",Givatayim
63.18,28.0,7.0,35.0,883,"55,400",Kiryat Gat
63.0,144.0,4.0,34.0,"1,325","53,965",Rosh Ha'ayin
62.94,12.0,2.0,14.0,362,"22,243",Castle
61.99,79.0,1.0,18.0,769,"29,035",Carmel Baca Al
61.64,27.0,5.0,14.0,335,"22,711",Her socks Yokneam
61.63,55.0,2.0,27.0,"1,065","43,811",Upper Galilee view
61.23,11.0,0.0,4.0,127,"6,533",Beit Dagan
60.84,52.0,8.0,36.0,"1,167","59,171",Hod HaSharon
59.78,25.0,3.0,16.0,327,"26,763",Arad
56.29,33.0,3.0,13.0,604,"23,093",Heralds
54.17,31.0,3.0,12.0,393,"22,152",Kiryat Shmona
53.83,17.0,0.0,8.0,166,"14,861",Degree
53.58,2.0,1.0,3.0,99,"5,599",Iron Village Village
53.09,27.0,6.0,21.0,645,"39,556",Kiryat Yam
50.68,15.0,0.0,5.0,70,"9,866",Beer al-
49.95,11.0,0.0,5.0,209,"10,011",Jalagia deficiency
49.89,222.0,24.0,136.0,"4,108","272,584",Haifa
49.41,7.0,3.0,11.0,237,"22,261",Maalot
49.38,22.0,0.0,5.0,160,"10,126",Tarshiha Yeruham
47.66,55.0,11.0,28.0,"1,073","58,750",Nahariya
47.35,19.0,7.0,16.0,540,"33,792",Tamra
46.77,43.0,0.0,11.0,588,"23,517",Kafr Qasim
45.78,35.0,1.0,4.0,226,"8,737",Harish
44.23,14.0,0.0,4.0,348,"9,043",Meiter
43.83,112.0,0.0,8.0,436,"18,251",Ariel
43.32,14.0,0.0,3.0,161,"6,926",Zemer
41.28,11.0,0.0,7.0,185,"16,957",Kuseife
40.94,10.0,0.0,6.0,195,"14,655",Iksal
39.38,45.0,4.0,18.0,"1,008","45,714",Ness Ziona
37.19,64.0,9.0,35.0,"1,311","94,104",Hadera
35.82,7.0,0.0,2.0,89,"5,584",My hair
35.77,10.0,1.0,8.0,270,"22,364",Hope from Gar
35.36,53.0,4.0,20.0,924,"56,568",Eilat
35.02,28.0,5.0,20.0,807,"57,108",Kiryat Ata
34.18,1.0,0.0,2.0,52,"5,851",Peki'in
34.01,15.0,0.0,3.0,203,"8,822",(Buckeye) Oranit
33.42,23.0,4.0,17.0,615,"50,872",Acre
33.18,2.0,1.0,2.0,135,"6,027",Pardesiya
32.95,8.0,0.0,4.0,254,"12,141",Isfiya
32.54,4.0,0.0,2.0,68,"6,147",Jules
31.88,33.0,0.0,6.0,371,"18,820",Kafr Qara
31.81,20.0,0.0,2.0,79,"6,288",Hurfeish
31.76,9.0,0.0,6.0,212,"18,893",Or Akiva
30.86,8.0,0.0,3.0,150,"9,722",Hazor
30.56,31.0,2.0,12.0,578,"39,262",Galilee Kiryat
30.38,15.0,1.0,4.0,125,"13,167",Bialik
30.37,5.0,2.0,2.0,58,"6,586",Buq'ata
29.39,49,3,19,"1,082","64,649",Rahat
28.48,5.0,0.0,3.0,197.0,"10,532",Basmaa
27.64,39.0,1.0,2.0,171.0,"7,236",Ramat Yishai
26.87,9.0,1.0,2.0,150.0,"7,442",Atlit
25.53,10.0,1.0,2.0,65.0,"7,833",Bismuth
24.62,20.0,2.0,10.0,590.0,"40,622",Orchard
23.33,30.0,3.0,10.0,679.0,"42,870",Pardes Hanna-Karkur
23.18,34.0,0.0,10.0,626.0,"43,144",Motzkin Taibeh
22.69,13.0,2.0,5.0,306.0,"22,032",Nesher
22.41,16.0,0.0,3.0,108.0,"13,388",Ein Mahil
21.81,47.0,3.0,7.0,454.0,"32,089",Sakhnin
20.86,17.0,0.0,3.0,200.0,"14,383",Binyamina
20.05,28.0,0.0,2.0,126.0,"9,974",Givat Ada
19.52,24.0,1.0,1.0,150.0,"5,124",Nujidat Bat Hefer
18.97,14.0,0.0,1.0,113.0,"5,272",Caesarea Maritima
18.95,38.0,1.0,3.0,284.0,"15,831",Kiryat Kiryat
18.91,6.0,1.0,2.0,121.0,"10,577",Tivon Tivon Kfar Yasif
16.53,4.0,0.0,2.0,90.0,"12,102","Kabul, Israel"
15.74,7.0,2.0,3.0,126.0,"19,056",Yafa an-Naseriyye
15.28,46.0,0.0,4.0,547.0,"26,184",Tiraa
15.23,15.0,0.0,2.0,181.0,"13,133",Fureidis
15.04,1.0,0.0,1.0,22.0,"6,648",Good
14.75,33.0,1.0,6.0,402.0,"40,666",Zangaria Shfaram
14.06,54.0,1.0,11.0,772.0,"78,252",Nazareth
12.83,1.0,0.0,1.0,60.0,"7,792",Abu Ghosh
11.97,16.0,0.0,1.0,101.0,"8,355",Bi'ina
11.84,0.0,0.0,1.0,28.0,"8,446",Abu Rubiya
11.7,3.0,0.0,1.0,42.0,"8,550",(Tribe)
10.17,49.0,0.0,2.0,449.0,"19,667",Smye appealed
9.74,13.0,0.0,2.0,194.0,"20,524",Jadeida-
9.02,7.0,1.0,1.0,61.0,"11,089",Sold Majdal Shams
8.91,20.0,0.0,2.0,270.0,"22,449",Kafr Kanna
7.60,10,0,1,91,"13,164",Abu Snan
6.01,0.0,0.0,1.0,25.0,"16,644",From Saudi Arabia to
5.73,5.0,0.0,1.0,74.0,"17,465",Azazma appealed-
5.04,8.0,0.0,1.0,48.0,"19,850",In the Negev Tel Sheva
4.4,34.0,1.0,1.0,235.0,"22,740",Clanswa
3.86,41.0,0.0,1.0,338.0,"25,876",Arraba
0.0,9.0,0.0,0.0,87.0,"20,003",Kafr Manda
0.0,3.0,0.0,0.0,195.0,"19,058",Beit She'an
0.0,10.0,0.0,0.0,168.0,"16,993",Daliyat al-Karmel
0.0,7.0,0.0,0.0,55.0,"16,983",Carmel Hora
0.0,7.0,0.0,0.0,123.0,"16,614",Reina
0.0,5.0,0.0,0.0,97.0,"15,418",Yarka
0.0,10.0,0.0,0.0,207.0,"15,275",Majd Al-
0.0,15.0,0.0,0.0,74.0,"14,695",Chromium Lekia
0.0,9.0,0.0,0.0,86.0,"14,398",Tur'an
0.0,10.0,0.0,0.0,88.0,"13,062",I'billin
0.0,6.0,0.0,0.0,75.0,"11,757",Beit Jan
0.0,3.0,0.0,0.0,26.0,"10,310",Shaqib al-Salam
0.0,0.0,0.0,0.0,17.0,"10,149",Negev Bedouin
0.0,1.0,0.0,0.0,21.0,"9,696",Negev Bedouin
0.0,5.0,0.0,0.0,58.0,"8,649",Mashhad
0.0,9.0,0.0,0.0,51.0,"8,385",Zarzir
0.0,5.0,0.0,0.0,71.0,"8,243",Rama
0.0,3.0,0.0,0.0,30.0,"8,241",Ilut
0.0,5.0,0.0,0.0,37.0,"7,191","Sha'ab, Israel"
0.0,2.0,0.0,0.0,47.0,"6,514",Jan-Jat
0.0,0.0,0.0,0.0,7.0,"6,235",Abu Qrenat
0.0,3.0,0.0,0.0,29.0,"5,780",(Tribe) (tribe) (tribe) as Abaya-Tabash-Hajjara
