City_Name,Population,Infected,Date
Mevaseret Zion,23093,10,2020-04-04
Omer,8016,10,2020-04-04
Shibli–Umm al-Ghanam,6367,10,2020-04-04
Ma'alot-Tarshiha,22261,9,2020-04-04
Ness Ziona,45714,9,2020-04-04
Katzrin,7373,9,2020-04-04
Kiryat Shmona,22152,9,2020-04-04
Nature,43144,8,2020-04-04
Kokhav Ya'ir,9143,8,2020-04-04
Kiryat Bialik,39262,8,2020-04-04
Jat,11910,7,2020-04-04
Kuseife,16957,7,2020-04-04
Maghar,22364,7,2020-04-04
Mazkeret Batya,14949,7,2020-04-04
Nazareth,78252,7,2020-04-04
Deir Hanna,10567,6,2020-04-04
Lehavim,6178,6,2020-04-04
Sakhnin,32089,6,2020-04-04
Pardes Hanna-Karkur,40622,6,2020-04-04
Kiryat Motzkin,42870,6,2020-04-04
Kiryat Ekron,10600,6,2020-04-04
Karnei Shomron,7906,6,2020-04-04
Alfei Menashe,7771,5,2020-04-04
Baqa al-Gharbiya,29035,5,2020-04-04
Bir al-Maksur,9866,5,2020-04-04
Nesher,22032,5,2020-04-04
Rahat,64649,5,2020-04-04
Shlomi,6478,5,2020-04-04
Iksal,14655,4,2020-04-04
Ariel,18251,4,2020-04-04
Bnei Aish,6837,4,2020-04-04
Geva Binyamin,5299,4,2020-04-04
Harish,8737,4,2020-04-04
Tzur Hadassah,7856,4,2020-04-04
Or Akiva,18893,3,2020-04-04
Beit Dagan,6533,3,2020-04-04
Tiraa,26184,3,2020-04-04
Yafa an-Naseriyye,19056,3,2020-04-04
Ma'ale Iron,14861,3,2020-04-04
Tzur Itzhak,5954,3,2020-04-04
Oranit,8822,2,2020-04-04
Buq'ata,6586,2,2020-04-04
Beit El,5767,2,2020-04-04
Binyamina-Givat Ada,14383,2,2020-04-04
Basmaa,10532,2,2020-04-04
Basmat Tab'un,7833,2,2020-04-04
Jedida-bestseller,20524,2,2020-04-04
Jules,6147,2,2020-04-04
Kfar Vradim,5599,2,2020-04-04
Kafr Kanna,22449,2,2020-04-04
Kafr Qara,18820,2,2020-04-04
Meiter,9043,2,2020-04-04
Atlit,7442,2,2020-04-04
Kiryat Tiv'on,15831,2,2020-04-04
Ramat Yishai,7236,2,2020-04-04
Shefa-'Amr,40666,2,2020-04-04
Abu Ghosh,7792,1,2020-04-04
Abu Rubiya (tribe),8446,1,2020-04-04
Boina-Nujidat,9974,1,2020-04-04
Ba'ana,8355,1,2020-04-04
Bat Hefer,5124,1,2020-04-04
Jaljulia,10011,1,2020-04-04
Deir al-Assad,12435,1,2020-04-04
Zemer,6926,1,2020-04-04
Hurfeish,6288,1,2020-04-04
Tuba-Zangaria,6648,1,2020-04-04
Yeruham,10126,1,2020-04-04
Kafr Yasif,10577,1,2020-04-04
Kafr Qasim,23517,1,2020-04-04
Majdal Shams,11089,1,2020-04-04
Masudin al-Azazma,16644,1,2020-04-04
Nahaf,13167,1,2020-04-04
Eilabun,5677,1,2020-04-04
Isfiya,12141,1,2020-04-04
"Arraba, Galilee",25876,1,2020-04-04
Pardesiya,6027,1,2020-04-04
Clansua,22740,1,2020-04-04
Tel as-Sabi,19850,1,2020-04-04
